"id","coin_id","date","one_day_trend","day_perc_diff","one_week_trend","symbol_count","name_count","coin_id_count","sentiment_score","social_dominance"
21901537,"neiro","2024-11-29","-6","-46.15384615384615","-9.142857142857142",7,7,7,"NaN","3.7615742295624266e-06"
21896458,"dogecoin","2024-11-29","-298","-64.08602150537635","-38.57142857142857",115,52,167,"NaN","8.97404137624179e-05"
21897110,"ethereum","2024-11-29","-1601","-56.63247258577998","-454.42857142857144",719,507,1226,"NaN","0.0006588128579205051"
21902519,"pepe","2024-11-29","-154","-66.66666666666666","-23.285714285714285",77,77,77,"NaN","4.13773165251867e-05"
21906305,"uniswap","2024-11-29","-330","-15.77437858508604","-97.57142857142857",15,1747,1762,"NaN","0.0009468419703555709"
21894496,"brett","2024-11-29","-28","-71.7948717948718","-3.857142857142857",11,11,11,"NaN","5.9110452178838135e-06"
21824519,"pepe","2024-11-28","52","29.05027932960894","-3.4285714285714284",231,231,231,"NaN","5.908467857551188e-05"
21816496,"brett","2024-11-28","20","105.26315789473684","-1.2857142857142858",39,39,39,"NaN","9.97533534391759e-06"
21823537,"neiro","2024-11-28","-5","-27.77777777777778","-9.142857142857142",13,13,13,"NaN","3.3251117813058636e-06"
21819110,"ethereum","2024-11-28","161","6.03900975243811","24",1826,1001,2827,"NaN","0.0007230839235193597"
21828305,"uniswap","2024-11-28","1412","207.64705882352942","66.71428571428571",121,1971,2092,"NaN","0.0005350872189609128"
21818458,"dogecoin","2024-11-28","55","13.414634146341465","15.571428571428571",362,103,465,"NaN","0.00011893669063901743"
21740458,"dogecoin","2024-11-27","151","58.301158301158296","-12",327,83,410,"NaN","0.0001409834385723123"
21738496,"brett","2024-11-27","3","18.75","-3.142857142857143",19,19,19,"NaN","6.533378860668131e-06"
21746519,"pepe","2024-11-27","29","19.333333333333332","-9.857142857142858",179,179,179,"NaN","6.155130610839976e-05"
21745537,"neiro","2024-11-27","6","50","-11.285714285714286",18,18,18,"NaN","6.189516815369808e-06"
21750305,"uniswap","2024-11-27","51","8.108108108108109","-49.42857142857143",52,628,680,"NaN","0.00023382619080285943"
21741110,"ethereum","2024-11-27","604","29.29194956353055","38.142857142857146",1713,953,2666,"NaN","0.0009167362127653283"
21678058,"dogecoin","2024-11-26","-182","-41.269841269841265","-66.71428571428571",185,74,259,"NaN","0.00020722105365905176"
21687905,"uniswap","2024-11-26","-1501","-70.46948356807512","-155.42857142857142",18,611,629,"NaN","0.00050325113031484"
21684119,"pepe","2024-11-26","-109","-42.084942084942085","-10.714285714285714",150,150,150,"NaN","0.00012001219323883306"
21683137,"neiro","2024-11-26","-10","-45.45454545454545","-9.714285714285714",12,12,12,"NaN","9.600975459106645e-06"
21676096,"brett","2024-11-26","-4","-20","-9.285714285714286",16,16,16,"NaN","1.2801300612142194e-05"
21678710,"ethereum","2024-11-26","-1152","-35.8431860609832","-65",1135,927,2062,"NaN","0.0016497676163898251"
21637319,"pepe","2024-11-25","12","4.8582995951417","-4.428571428571429",259,259,259,"NaN","0.0001267864529409317"
21641105,"uniswap","2024-11-25","203","10.534509600415152","31.714285714285715",60,2070,2130,"NaN","0.0010426839566184732"
21631910,"ethereum","2024-11-25","34","1.069182389937107","109.28571428571429",2020,1194,3214,"NaN","0.0015733268716299402"
21636337,"neiro","2024-11-25","-61","-73.49397590361446","-7.714285714285714",22,22,22,"NaN","1.0769505655214277e-05"
21629296,"brett","2024-11-25","-28","-58.333333333333336","-12.285714285714286",20,20,20,"NaN","9.790459686558434e-06"
21631258,"dogecoin","2024-11-25","-173","-28.175895765472315","-50",320,121,441,"NaN","0.00021587963608861346"
21646858,"dogecoin","2024-11-24","434","70.68403908794788","36.714285714285715",814,234,1048,"NaN","0.00021418825512600726"
21656705,"uniswap","2024-11-24","2241","116.29475869226778","322.85714285714283",88,4080,4168,"NaN","0.0008518479459591587"
21647510,"ethereum","2024-11-24","2886","90.75471698113208","516.7142857142857",3722,2344,6066,"NaN","0.0012397575912159926"
21651937,"neiro","2024-11-24","48","57.831325301204814","7.857142857142857",131,131,131,"NaN","2.6773531890750908e-05"
21644896,"brett","2024-11-24","21","43.75","-5.285714285714286",69,69,69,"NaN","1.4102089316502387e-05"
21652919,"pepe","2024-11-24","179","72.46963562753037","19.428571428571427",426,426,426,"NaN","8.706507317144952e-05"
21554270,"ethereum","2024-11-23","-204","-6.028368794326241","108.14285714285714",2093,1087,3180,"NaN","0.0014308835976193338"
21563422,"uniswap","2024-11-23","-214","-9.995329285380663","145",85,1842,1927,"NaN","0.000867079463085678"
21551677,"brett","2024-11-23","-11","-18.64406779661017","-1.4285714285714286",48,48,48,"NaN","2.1598242982933337e-05"
21559655,"pepe","2024-11-23","4","1.646090534979424","-6.571428571428571",247,247,247,"NaN","0.00011114095868301113"
21558672,"neiro","2024-11-23","2","2.4691358024691357","-2.5714285714285716",83,83,83,"NaN","3.734696182465556e-05"
21553624,"dogecoin","2024-11-23","128","26.337448559670783","-14",552,62,614,"NaN","0.00027627752482335563"
21486011,"uniswap","2024-11-22","-304","-12.433537832310838","109.57142857142857",47,2094,2141,"NaN","0.0008081572165872665"
21481294,"neiro","2024-11-22","10","14.084507042253522","-2.5714285714285716",81,81,81,"NaN","3.057484098251685e-05"
21474358,"brett","2024-11-22","21","55.26315789473685","-5.428571428571429",59,59,59,"NaN","2.2270563184796225e-05"
21476298,"dogecoin","2024-11-22","49","11.212814645308924","-59.285714285714285",405,81,486,"NaN","0.0001834490458951011"
21476938,"ethereum","2024-11-22","-1023","-23.21307011572498","138.14285714285714",2220,1164,3384,"NaN","0.0012773489121584818"
21482266,"pepe","2024-11-22","3","1.25","-19.714285714285715",243,243,243,"NaN","9.172452294755056e-05"
21415366,"ethereum","2024-11-21","1748","65.73899962391877","258.57142857142856",2809,1598,4407,"NaN","0.001957396533804731"
21414726,"dogecoin","2024-11-21","81","22.752808988764045","-92.85714285714286",357,80,437,"NaN","0.00019409627530580156"
21424439,"uniswap","2024-11-21","820","50.46153846153846","100.14285714285714",36,2409,2445,"NaN","0.0010859619979924138"
21412786,"brett","2024-11-21","-10","-20.833333333333336","-8.857142857142858",38,38,38,"NaN","1.687793698311318e-05"
21419722,"neiro","2024-11-21","-6","-7.792207792207792","-4.142857142857143",71,71,71,"NaN","3.153509278423778e-05"
21420694,"pepe","2024-11-21","-15","-5.88235294117647","-72.71428571428571",240,240,240,"NaN","0.00010659749673545166"
21359122,"pepe","2024-11-20","7","2.82258064516129","-52.285714285714285",255,255,255,"NaN","0.00013511573059724863"
21362867,"uniswap","2024-11-20","599","58.38206627680312","170.85714285714286",34,1591,1625,"NaN","0.0008610316165510942"
21351214,"brett","2024-11-20","7","17.073170731707318","2.4285714285714284",48,48,48,"NaN","2.543354928889386e-05"
21358150,"neiro","2024-11-20","-20","-20.618556701030926","-9.285714285714286",77,77,77,"NaN","4.079965198426723e-05"
21353154,"dogecoin","2024-11-20","-138","-27.93522267206478","-268.14285714285717",272,84,356,"NaN","0.0001886321572259628"
21353794,"ethereum","2024-11-20","260","10.837849103793246","-46.285714285714285",1652,1007,2659,"NaN","0.0014089126574826827"
21276465,"dogecoin","2024-11-19","-232","-31.955922865013775","-98.42857142857143",442,52,494,"NaN","0.00017996763497026163"
21282390,"pepe","2024-11-19","23","10.222222222222223","-20.571428571428573",248,248,248,"NaN","9.034812443851191e-05"
21281425,"neiro","2024-11-19","17","21.25","-2.7142857142857144",97,97,97,"NaN","3.533777447796635e-05"
21277102,"ethereum","2024-11-19","-118","-4.688120778704807","-115.42857142857143",1412,987,2399,"NaN","0.0008739723811612502"
