id,coin_id,one_day_trend,day_perc_diff,one_week_trend,symbol_count,name_count,coin_id_count,sentiment_score,social_dominance,block_number
11410258,uniswap,-370,-36.0272638754,-15.285714285714286,34,623,657,0,0.0002934884,17008220
11400998,dogecoin,-3,-1.4150943396,-19.714285714285715,154,55,209,0,9.33624e-05,17008230
11406732,pepe,-1467,-71.5609756098,-91.57142857142857,583,583,583,0,0.0002604319,17008240
11468858,uniswap,303,46.1187214612,62.42857142857143,95,865,960,0,0.0003092211,17008250
11460253,ethereum,1009,35.3786816269,252,2996,865,3861,0,0.0012436485,17008260
11459598,dogecoin,107,51.1961722488,14.142857142857142,271,45,316,0,0.0001017853,17008270
11457778,brett,16,20,3.2857142857142856,96,96,96,0,3.09221e-05,17008280
11465332,pepe,113,19.3825042882,76.14285714285714,696,696,696,0,0.0002241853,17008290
11542221,uniswap,-29,-3.0208333333,-38.142857142857146,77,854,931,0,0.0002825075,17008300
11538665,pepe,993,142.6724137931,218.85714285714286,1689,1689,1689,0,0.0005125189,17008310
11533542,ethereum,741,19.1919191919,-116.57142857142857,3731,871,4602,0,0.0013964548,17008320
11532880,dogecoin,-68,-21.5189873418,-7.714285714285714,210,38,248,0,7.52544e-05,17008330
11531045,brett,-42,-43.75,-4.285714285714286,54,54,54,0,1.6386e-05,17008340
11547653,dogecoin,192,77.4193548387,14.142857142857142,352,88,440,0,0.0001318497,17008350
11556994,uniswap,105,11.2781954887,-25.285714285714285,47,989,1036,0,0.0003104461,17008360
11553438,pepe,-1430,-84.665482534,-19.857142857142858,259,259,259,0,7.76115e-05,17008370
11545818,brett,-2,-3.7037037037,-5.285714285714286,52,52,52,0,1.55822e-05,17008380
11548315,ethereum,-262,-5.6931768796,-166.85714285714286,3586,754,4340,0,0.0013005175,17008390
11563088,ethereum,501,11.5437788018,-405.14285714285717,3645,1196,4841,0,0.0015165988,17008400
11568211,pepe,112,43.2432432432,-532.5714285714286,371,371,371,0,0.0001162277,17008410
11560591,brett,45,86.5384615385,2.7142857142857144,97,97,97,0,3.03884e-05,17008420
11562426,dogecoin,358,81.3636363636,27.142857142857142,727,71,798,0,0.0002499991,17008430
11571767,uniswap,-369,-35.6177606178,-109.71428571428571,49,618,667,0,0.0002089592,17008440
11616086,uniswap,176,26.3868065967,-36.857142857142854,52,791,843,0,0.0002521756,17008450
11607407,ethereum,-73,-1.5079529023,-258.57142857142856,3876,892,4768,0,0.0014263027,17008460
11612530,pepe,44,11.8598382749,-176.42857142857142,415,415,415,0,0.0001241434,17008470
11604910,brett,-15,-15.4639175258,-0.7142857142857143,82,82,82,0,2.45295e-05,17008480
11606745,dogecoin,94,11.7794486216,80.57142857142857,834,58,892,0,0.0002668335,17008490
11681272,ethereum,-198,-4.1526845638,4.714285714285714,3727,843,4570,0,0.0013190099,17008500
11686395,pepe,177,42.6506024096,-208.28571428571428,592,592,592,0,0.0001708652,17008510
11678775,brett,-19,-23.1707317073,-12.571428571428571,63,63,63,0,1.81833e-05,17008520
11680610,dogecoin,-124,-13.9013452915,79.42857142857143,683,85,768,0,0.0002216629,17008530
11689951,uniswap,112,13.2858837485,-10.285714285714286,39,916,955,0,0.0002756355,17008540
11754475,dogecoin,-403,-52.4739583333,22.285714285714285,291,74,365,0,0.0001060041,17008550
11763816,uniswap,-130,-13.612565445,24,25,800,825,0,0.0002395982,17008560
11760260,pepe,108,18.2432432432,16.714285714285715,700,700,700,0,0.0002032955,17008570
11752640,brett,8,12.6984126984,-1.2857142857142858,71,71,71,0,2.062e-05,17008580
11755137,ethereum,-771,-16.8708971554,135.28571428571428,2953,846,3799,0,0.0011033136,17008590
11811884,brett,-16,-22.5352112676,-5.857142857142857,55,55,55,0,2.04885e-05,17008600
11823065,uniswap,-38,-4.6060606061,-24.714285714285715,34,753,787,0,0.000293172,17008610
11814383,ethereum,-151,-3.9747301922,-30.428571428571427,2921,727,3648,0,0.0013589472,17008620
11813722,dogecoin,77,21.095890411,18,397,45,442,0,0.0001646531,17008630
11819499,pepe,-99,-14.1428571429,-13.571428571428571,601,601,601,0,0.0002238836,17008640
11870984,brett,-1,-1.8181818182,0,54,54,54,0,2.18629e-05,17008650
11878599,pepe,60,9.9833610649,-146.85714285714286,661,661,661,0,0.0002676179,17008660
11872822,dogecoin,513,116.0633484163,101,879,76,955,0,0.0003866492,17008670
11873483,ethereum,-51,-1.3980263158,-143.57142857142858,2749,848,3597,0,0.0014563113,17008680
11882165,uniswap,91,11.5628970775,-7.571428571428571,86,792,878,0,0.0003554744,17008690
11937699,pepe,280,42.3600605144,97.42857142857143,941,941,941,0,0.000322174,17008700
11930084,brett,54,100,8,108,108,108,0,3.69764e-05,17008710
11941265,uniswap,-115,-13.0979498861,-39,34,729,763,0,0.0002612314,17008720
11932583,ethereum,392,10.897970531,-50.142857142857146,3146,843,3989,0,0.0013657301,17008730
11931922,dogecoin,-72,-7.5392670157,63.285714285714285,832,51,883,0,0.0003023163,17008740
12000542,uniswap,254,33.2896461337,50,37,980,1017,0,0.0003867075,17008750
11989325,brett,23,21.2962962963,4.857142857142857,131,131,131,0,4.98119e-05,17008760
11996963,pepe,-175,-18.5972369819,56.42857142857143,766,766,766,0,0.0002912664,17008770
11991836,ethereum,591,14.8157432941,-37.285714285714285,3598,982,4580,0,0.0017415144,17008780
11991174,dogecoin,-493,-55.832389581,-58.285714285714285,319,71,390,0,0.0001482949,17008790
